UniID,Institution_Name,City,Year,Student_to_faculty_ratio,Full_Time_Staff_per_Student,Average_salary_of_full_time_professors,Percent_of_undergraduate_enrollment_Age_18_to_24,Percent_of_full_time_first_time_undergraduates_awarded_any_financial_aid,Total_price_for_in_state_students_living_on_campus ,Percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses,Percent_admitted ,Published_in_state_tuition_and_fees,Books_and_supplies,Undergraduate_application_fee,SAT_Math_50th_percentile_score,SAT_Reading_and_Writing_50th_percentile_score,Full_time_retention_rate
226091,Lamar University,Beaumont,18-19,18,0.0942,98675,74.57,82,22641,23,84,8373,1012,25,510,525,64
226833,Midwestern State University,Wichita Falls,18-19,17,0.1124,92145,74.57,93,21069,16,71,9233,1050,40,490,530,65
227526,Prairie View A & M University,Prairie View,18-19,19,0.1218,103175,91,91,24847,1,74,10533,1302,40,480,490,74
227881,Sam Houston State University,Huntsville,18-19,21,0.1039,99790,83,86,22478,10,79,8296,1000,45,530,540,76
228431,Stephen F Austin State University,Nacogdoches,18-19,18,0.1164,87595,74.57,86,22156,9,68,8316,1202,45,535,550,71
228501,Sul Ross State University,Alpine,18-19,15,0.1431,70170,65,91,20466,25,99,6816,1366,25,536.17,543.96,48
228529,Tarleton State University,Stephenville,18-19,19,0.0860,95894,79,87,21795,6,55,7292,966,50,520,530,70
226152,Texas A & M International University,Laredo,18-19,22,0.0912,103431,78,97,18549,2,52,7176,1201,0,500,515,77
228723,Texas A & M University-College Station,College Station,18-19,20,0.1516,147703,97,76,29506,0,68,11870,1222,75,645,630,92
224554,Texas A & M University-Commerce,Commerce,18-19,21,0.0788,95273,66,91,22983,21,42,8748,1400,0,515,535,66
224147,Texas A & M University-Corpus Christi,Corpus Christi,18-19,19,0.1102,80245,82,71,23337,3,87,9085,1008,40,525,545,58
229063,Texas Southern University,Houston,18-19,18,0.1270,93996,77,95,25343,3,57,9173,1640,42,450,460,54
228459,Texas State University,San Marcos,18-19,22,0.1028,104555,88,76,23130,2,78,10280,780,75,540,555,77
229115,Texas Tech University,Lubbock,18-19,20,0.1300,126202,88,78,24472,6,71,9080,1200,75,575,580,85
229179,Texas Woman's University,Denton,18-19,16,0.0972,101861,64,93,20272,16,87,7796,1050,50,525,540,73
228769,The University of Texas at Arlington,Arlington,18-19,24,0.0718,128369,54,90,26660,33,80,10496,1206,60,580,580,74
228778,The University of Texas at Austin,Austin,18-19,18,0.2762,168499,96,67,26506,0,39,10610,700,75,685,670,95
228787,The University of Texas at Dallas,Richardson,18-19,25,0.1229,160346,84,78,29286,0,69,13034,1200,50,680,650,88
228796,The University of Texas at El Paso,El Paso,18-19,20,0.1017,117798,76,86,23843,5,100,8198,1632,0,515,520,73
